Messungen der Hall-Spannung/ Magnetfeldmessungen

------------------------------------------------
Datum: 2022_03_04
Version: v3.0-52-g9982156-dirty

Folgende Geräte werden verwendet:
---------------------------------
Gerät 1: KEYSIGHT TECHNOLOGIES,DSOX1204G,CN61367122,02.11.2020062221
Gerät 2: KEITHLEY INSTRUMENTS,MODEL DAQ6510,04463273,1.0.04b

Experiment Informationen:
Spulendurchmesser: 20 mm
Spulenwindungen:   60 je Spule
Vorwiderstand:     10 Ohm

Versorgung Hall-Sensor von Keithley - 2450 Sourcemeter
Versorgungsspannung: 5 V
Strom-Limit:         200 mA

Voreinstellungen und Vormessung:
---------------------------
Start Amplitude:         12 V
Genutzte Funktion:       SIN
Keysight Channel (VRMS): 1
U_Hall_0:                2.3114 mV

Sollwert = 550.0 mV ± 1.0 mV --> Vpp Anpassung bei Abwweichung = 0.01 V
Messungen von 20000 Hz bis 20 Hz in -20 Hz Schritten

Frequenz [Hz]  Hall-Spannung [V]             Spannung (VRMS-AC) über R [V]      Amplitude Vpp (Gen_Out) [V]   
14260          0.0081683                     0.5493                             +10.4000E+00                  
14240          0.0081736                     0.5496                             +10.4000E+00                  
14220          0.0081802                     0.5497                             +10.4000E+00                  
14200          0.0081794                     0.5497                             +10.4000E+00                  
14180          0.0081748                     0.5498                             +10.4000E+00                  
14160          0.0081812                     0.5496                             +10.4000E+00                  
14140          0.0081874                     0.5501                             +10.4000E+00                  
14120          0.0081944                     0.55                               +10.4000E+00                  
14100          0.0081876                     0.55                               +10.4000E+00                  
14080          0.0081967                     0.55                               +10.4000E+00                  
14060          0.0081985                     0.5505                             +10.4000E+00                  
14040          0.0082051                     0.5504                             +10.4000E+00                  
14020          0.0082111                     0.5508                             +10.4000E+00                  
14000          0.0082033                     0.5509                             +10.3900E+00                  
13980          0.0082117                     0.5508                             +10.3900E+00                  
13960          0.0081915                     0.5492                             +10.3700E+00                  
13940          0.0081956                     0.5495                             +10.3700E+00                  
13920          0.0081942                     0.5496                             +10.3700E+00                  
13900          0.0081944                     0.5495                             +10.3700E+00                  
13880          0.0081991                     0.5497                             +10.3700E+00                  
13860          0.0082078                     0.5499                             +10.3700E+00                  
13840          0.008206                      0.5499                             +10.3700E+00                  
13820          0.0082081                     0.5501                             +10.3700E+00                  
13800          0.0082079                     0.5503                             +10.3700E+00                  
13780          0.0082146                     0.5503                             +10.3700E+00                  
13760          0.0082119                     0.5505                             +10.3700E+00                  
13740          0.008224                      0.5503                             +10.3700E+00                  
13720          0.0082225                     0.5508                             +10.3700E+00                  
13700          0.0082308                     0.5509                             +10.3700E+00                  
13680          0.0082268                     0.5508                             +10.3700E+00                  
13660          0.0082325                     0.5508                             +10.3500E+00                  
13640          0.0082103                     0.5492                             +10.3300E+00                  
13620          0.0082098                     0.5496                             +10.3300E+00                  
13600          0.0082199                     0.5496                             +10.3300E+00                  
13580          0.0082139                     0.5497                             +10.3300E+00                  
13560          0.0082199                     0.5495                             +10.3300E+00                  
13540          0.0082156                     0.5499                             +10.3300E+00                  
13520          0.0082191                     0.5498                             +10.3300E+00                  
13500          0.00822                       0.5499                             +10.3300E+00                  
13480          0.008222                      0.55                               +10.3300E+00                  
13460          0.0082279                     0.5503                             +10.3300E+00                  
13440          0.0082397                     0.5503                             +10.3300E+00                  
13420          0.008243                      0.5507                             +10.3300E+00                  
13400          0.0082403                     0.5504                             +10.3300E+00                  
13380          0.00825                       0.5508                             +10.3300E+00                  
13360          0.0082387                     0.5508                             +10.3300E+00                  
13340          0.0082516                     0.5508                             +10.3300E+00                  
13320          0.0082474                     0.5508                             +10.3300E+00                  
13300          0.0082284                     0.5493                             +10.3000E+00                  
13280          0.0082251                     0.5496                             +10.3000E+00                  
13260          0.0082397                     0.5496                             +10.3000E+00                  
13240          0.0082336                     0.5499                             +10.3000E+00                  
13220          0.0082406                     0.5498                             +10.3000E+00                  
13200          0.0082398                     0.5502                             +10.3000E+00                  
13180          0.0082473                     0.5501                             +10.3000E+00                  
13160          0.0082459                     0.55                               +10.3000E+00                  
13140          0.0082452                     0.5504                             +10.3000E+00                  
13120          0.0082498                     0.5507                             +10.3000E+00                  
13100          0.0082532                     0.5506                             +10.3000E+00                  
13080          0.0082669                     0.5507                             +10.3000E+00                  
13060          0.0082574                     0.5508                             +10.3000E+00                  
13040          0.0082582                     0.5508                             +10.2900E+00                  
13020          0.0082365                     0.5494                             +10.2700E+00                  
13000          0.0082366                     0.5493                             +10.2700E+00                  
12980          0.008241                      0.5496                             +10.2700E+00                  
12960          0.0082421                     0.5495                             +10.2700E+00                  
12940          0.0082426                     0.5497                             +10.2700E+00                  
12920          0.0082526                     0.5494                             +10.2700E+00                  
12900          0.0082555                     0.5498                             +10.2700E+00                  
12880          0.00826                       0.5499                             +10.2700E+00                  
12860          0.0082624                     0.5499                             +10.2700E+00                  
12840          0.0082663                     0.5499                             +10.2700E+00                  
12820          0.0082557                     0.5502                             +10.2700E+00                  
12800          0.008264                      0.5502                             +10.2700E+00                  
12780          0.0082703                     0.5503                             +10.2700E+00                  
12760          0.0082691                     0.5503                             +10.2700E+00                  
12740          0.0082732                     0.5506                             +10.2700E+00                  
12720          0.0082812                     0.5508                             +10.2700E+00                  
12700          0.0082906                     0.5508                             +10.2700E+00                  
12680          0.0082843                     0.5507                             +10.2700E+00                  
12660          0.0082942                     0.5509                             +10.2700E+00                  
12640          0.008263                      0.5495                             +10.2400E+00                  
12620          0.0082684                     0.5495                             +10.2400E+00                  
12600          0.0082693                     0.5496                             +10.2400E+00                  
12580          0.0082742                     0.5499                             +10.2400E+00                  
12560          0.0082775                     0.5499                             +10.2400E+00                  
12540          0.0082855                     0.5501                             +10.2400E+00                  
12520          0.008286                      0.5502                             +10.2400E+00                  
12500          0.008288                      0.5499                             +10.2400E+00                  
12480          0.0082898                     0.5503                             +10.2400E+00                  
12460          0.0082861                     0.55                               +10.2400E+00                  
12440          0.0082922                     0.5502                             +10.2400E+00                  
12420          0.0082894                     0.5506                             +10.2400E+00                  
12400          0.008292                      0.5506                             +10.2400E+00                  
12380          0.0082992                     0.5507                             +10.2300E+00                  
12360          0.0083074                     0.5508                             +10.2300E+00                  
12340          0.0083085                     0.5509                             +10.2200E+00                  
12320          0.008286                      0.5493                             +10.2000E+00                  
12300          0.0082877                     0.5495                             +10.2000E+00                  
12280          0.0082894                     0.5496                             +10.2000E+00                  
12260          0.0082921                     0.5496                             +10.2000E+00                  
12240          0.0082959                     0.5496                             +10.2000E+00                  
12220          0.0082944                     0.5498                             +10.2000E+00                  
12200          0.0082974                     0.5498                             +10.2000E+00                  
12180          0.0083067                     0.5501                             +10.2000E+00                  
12160          0.0083054                     0.5502                             +10.2000E+00                  
12140          0.0083107                     0.5503                             +10.2000E+00                  
12120          0.0083094                     0.5503                             +10.2000E+00                  
12100          0.0083165                     0.5504                             +10.2000E+00                  
12080          0.008314                      0.5506                             +10.2000E+00                  
12060          0.0083166                     0.5503                             +10.2000E+00                  
12040          0.0083153                     0.5506                             +10.2000E+00                  
12020          0.0083148                     0.5509                             +10.2000E+00                  
12000          0.0083247                     0.5509                             +10.2000E+00                  
11980          0.0083302                     0.5509                             +10.1900E+00                  
11960          0.0083216                     0.5509                             +10.1900E+00                  
11940          0.0083032                     0.5495                             +10.1700E+00                  
11920          0.0083081                     0.5496                             +10.1700E+00                  
11900          0.0083054                     0.5494                             +10.1700E+00                  
11880          0.008313                      0.5499                             +10.1700E+00                  
11860          0.0083141                     0.5498                             +10.1700E+00                  
11840          0.0083183                     0.5499                             +10.1700E+00                  
11820          0.008324                      0.55                               +10.1700E+00                  
11800          0.0083194                     0.5502                             +10.1700E+00                  
11780          0.0083257                     0.5503                             +10.1700E+00                  
11760          0.0083255                     0.5504                             +10.1700E+00                  
11740          0.0083269                     0.5506                             +10.1700E+00                  
11720          0.0083264                     0.5506                             +10.1700E+00                  
11700          0.0083337                     0.5506                             +10.1700E+00                  
11680          0.0083312                     0.5508                             +10.1700E+00                  
11660          0.0083433                     0.5508                             +10.1700E+00                  
11640          0.0083447                     0.5509                             +10.1500E+00                  
11620          0.0083241                     0.5493                             +10.1400E+00                  
11600          0.0083201                     0.5493                             +10.1400E+00                  
11580          0.0083227                     0.5495                             +10.1400E+00                  
11560          0.0083242                     0.5497                             +10.1400E+00                  
11540          0.0083283                     0.5497                             +10.1400E+00                  
11520          0.0083246                     0.5497                             +10.1400E+00                  
11500          0.0083294                     0.5498                             +10.1400E+00                  
11480          0.0083337                     0.5498                             +10.1400E+00                  
11460          0.008336                      0.55                               +10.1400E+00                  
11440          0.0083412                     0.5499                             +10.1400E+00                  
11420          0.0083381                     0.5502                             +10.1400E+00                  
11400          0.0083465                     0.5503                             +10.1400E+00                  
11380          0.0083411                     0.5503                             +10.1400E+00                  
11360          0.0083487                     0.5505                             +10.1400E+00                  
11340          0.0083501                     0.5508                             +10.1400E+00                  
11320          0.0083468                     0.5509                             +10.1400E+00                  
11300          0.0083571                     0.5506                             +10.1400E+00                  
11280          0.0083568                     0.5508                             +10.1400E+00                  
11260          0.0083648                     0.5508                             +10.1400E+00                  
11240          0.0083407                     0.5493                             +10.1000E+00                  
11220          0.0083399                     0.5493                             +10.1000E+00                  
11200          0.008345                      0.5494                             +10.1000E+00                  
11180          0.0083457                     0.5494                             +10.1000E+00                  
11160          0.0083515                     0.5497                             +10.1000E+00                  
11140          0.0083508                     0.5497                             +10.1000E+00                  
11120          0.008359                      0.5497                             +10.1000E+00                  
11100          0.0083537                     0.55                               +10.1000E+00                  
11080          0.0083634                     0.5501                             +10.1000E+00                  
11060          0.0083622                     0.55                               +10.1000E+00                  
11040          0.0083647                     0.5501                             +10.1000E+00                  
11020          0.008371                      0.5502                             +10.1000E+00                  
11000          0.0083587                     0.5502                             +10.1000E+00                  
10980          0.0083653                     0.5503                             +10.1000E+00                  
10960          0.0083708                     0.5504                             +10.1000E+00                  
10940          0.0083751                     0.5506                             +10.1000E+00                  
10920          0.0083783                     0.5507                             +10.1000E+00                  
10900          0.0083806                     0.5507                             +10.1000E+00                  
10880          0.0083875                     0.5508                             +10.0900E+00                  
10860          0.0083866                     0.5508                             +10.0900E+00                  
10840          0.0083647                     0.5496                             +10.0700E+00                  
10820          0.0083658                     0.5495                             +10.0700E+00                  
10800          0.0083692                     0.5496                             +10.0700E+00                  
10780          0.008367                      0.5498                             +10.0700E+00                  
