Profilerstellung eines Magnetfeldes
Datum: 2022_03_04

Version: v3.0-52-g9982156-dirty

Experiment Aufbau:
------------------
Versorgung Hall-Sensor von Keithley - 2450 Sourcemeter
Magnetfeld aus - U_Hall:     2.0043 mV
Versorgungsspannung:         5 V
Strom-Limit:                 200 mA

Gerät für die Messung:       KEITHLEY INSTRUMENTS,MODEL DAQ6510,04463273,1.0.04b
Ort der Messung:             Test-CZ
Startposition:               Mitte - 3.5 cm über Boden - Aufwärts bis 11.5 cm
Geschwindigkeit Geradlinig:  10 mm/min
Geschwindigkeit Rotation:    0/min

abs. Zeit      rel. Zeit [s]       Hall-Spannung [V]             
14:21:30       463.0               0.035117                      
14:21:32       464.6               0.035038                      
14:21:33       466.3               0.034919                      
14:21:35       467.9               0.034846                      
14:21:37       469.5               0.034747                      
14:21:38       471.1               0.034630                      
14:21:40       472.7               0.034509                      
14:21:41       474.3               0.034440                      
14:21:43       475.9               0.034273                      
14:21:45       477.5               0.034520                      
14:21:46       479.1               0.034085                      
14:21:48       480.8               0.034042                      
14:21:50       482.4               0.033935                      
14:21:51       484.0               0.033840                      
14:21:53       485.6               0.033684                      
14:21:54       487.2               0.034030                      
